file_name,subID,phase,trial,stim,stim_cat,resp_cat,resp_time,correct,hit,event,prev_resp_same_cat,prev_resp_correct,prev_resp_hit,next_resp_same_cat,next_resp_correct,next_resp_hit,next_cat_change,RewP,stim_SPN,fdbk_SPN
F1_acq,F01,acq,57,2f,2,2,29427,correct,1,113,2,correct,1,3,incorrect,-1,1,4.7652,-27.2178,115.2558
F1_acq,F01,acq,58,5m,5,5,45291,correct,1,115,2,incorrect,-1,2,incorrect,-1,1,22.5912,-22.9942,-43.6793
F1_acq,F01,acq,59,4n,4,3,25420,incorrect,-1,117,5,incorrect,-1,4,correct,1,1,-6.6999,-9.1875,
F1_acq,F01,acq,60,1i,1,1,53307,correct,1,119,1,correct,1,2,incorrect,-1,1,7.6335,-18.0502,
F1_acq,F01,acq,61,2l,2,3,68668,incorrect,-1,121,2,correct,1,5,incorrect,-1,1,-4.729,22.1326,-29.9042
F1_acq,F01,acq,62,3b,3,3,44122,correct,1,123,5,incorrect,-1,3,correct,1,0,-18.0427,-5.6452,
F1_acq,F01,acq,63,4e,4,4,20410,correct,1,125,3,incorrect,-1,4,correct,1,0,-3.5748,4.4,88.509
F1_acq,F01,acq,64,5a,5,2,15568,incorrect,-1,127,5,correct,1,5,correct,1,1,-6.0418,-20.0884,16.287
F1_acq,F01,acq,65,3a,3,3,19576,correct,1,129,3,correct,1,3,correct,1,0,7.6266,-3.5834,38.8043
F1_acq,F01,acq,66,4i,4,4,15401,correct,1,131,4,correct,1,3,incorrect,-1,1,1.3904,-4.5796,-60.9842
F1_acq,F01,acq,67,3k,3,3,32934,correct,1,133,3,correct,1,1,incorrect,-1,1,25.5585,-21.8077,11.9622
F1_acq,F01,acq,68,5j,5,5,53974,correct,1,135,2,incorrect,-1,2,incorrect,-1,1,-3.4864,-10.867,-41.1297
F1_acq,F01,acq,69,5c,5,2,55477,incorrect,-1,137,5,correct,1,2,incorrect,-1,0,7.2164,-6.0385,-34.8559
F1_acq,F01,acq,70,3c,3,1,20577,incorrect,-1,139,3,correct,1,,,,,5.0225,-30.0995,2.1324
F1_acq,F01,acq,71,1e,1,2,41450,incorrect,-1,141,1,correct,1,5,incorrect,-1,1,-12.5792,-2.2058,-20.5833
F1_acq,F01,acq,72,5d,5,2,29594,incorrect,-1,143,2,incorrect,-1,1,incorrect,-1,1,1.5485,-7.8486,
F1_acq,F01,acq,73,1a,1,5,90210,incorrect,-1,145,2,incorrect,-1,1,correct,1,1,13.2388,-4.349,49.6143
F1_acq,F01,acq,74,1o,1,1,38612,correct,1,147,5,incorrect,-1,1,correct,1,0,27.2577,,-44.6865
F1_acq,F01,acq,75,5l,5,1,28592,incorrect,-1,149,2,incorrect,-1,2,incorrect,-1,1,7.4506,-33.5083,-50.2281
F1_acq,F01,acq,76,2i,2,5,50635,incorrect,-1,151,3,incorrect,-1,,,,,10.4268,-19.5083,
F1_acq,F01,acq,77,1l,1,1,25754,correct,1,153,1,correct,1,2,incorrect,-1,1,10.3294,-37.083,
F1_acq,F01,acq,78,1b,1,2,38945,incorrect,-1,155,1,correct,1,,,,,12.2174,6.1528,-101.4255
F1_acq,F01,acq,79,5f,5,2,79690,incorrect,-1,157,1,incorrect,-1,,,,,,2.3886,
F1_acq,F01,acq,80,4d,4,3,18907,incorrect,-1,159,4,correct,1,,,,,5.4587,,
F2_acq,F02,acq,1,1f,1,1,19575,correct,1,1,,,,,,,,-2.8001,-22.6745,-17.3677
F2_acq,F02,acq,2,2m,2,2,19241,correct,1,3,,,,,,,,4.8064,-22.2468,17.1571
F2_acq,F02,acq,3,5i,5,2,21913,incorrect,-1,5,,,,,,,,15.6895,32.8025,-21.5638
F2_acq,F02,acq,4,3g,3,3,28759,correct,1,7,,,,,,,,9.4079,-9.2435,-4.8772
F2_acq,F02,acq,5,3l,3,3,35439,correct,1,9,3,correct,1,2,incorrect,-1,1,10.641,-30.8146,-24.2747
F2_acq,F02,acq,6,1d,1,4,32934,incorrect,-1,11,1,correct,1,1,correct,1,1,-0.1875,5.7942,19.8027
F2_acq,F02,acq,7,2d,2,5,22736,incorrect,-1,13,2,correct,1,4,incorrect,-1,1,8.0208,6.3457,-24.9397
F2_acq,F02,acq,8,4h,4,1,26087,incorrect,-1,15,,,,1,incorrect,-1,0,2.5652,15.5891,-7.2756
F2_acq,F02,acq,9,5g,5,3,36775,incorrect,-1,17,2,incorrect,-1,5,correct,1,1,-5.6012,-32.6116,-0.1733
F2_acq,F02,acq,10,3j,3,2,29093,incorrect,-1,19,3,correct,1,4,incorrect,-1,1,3.0471,-5.7902,-1.3001
F2_acq,F02,acq,11,2k,2,4,26422,incorrect,-1,21,5,incorrect,-1,5,incorrect,-1,1,4.3068,7.6888,6.7926
F2_acq,F02,acq,12,2j,2,5,20411,incorrect,-1,23,4,incorrect,-1,4,incorrect,-1,1,12.7507,-3.3333,-2.6804
F2_acq,F02,acq,13,1m,1,1,45458,correct,1,25,4,incorrect,-1,1,correct,1,0,7.7231,10.2003,-22.0949
F2_acq,F02,acq,14,1k,1,1,26255,correct,1,27,1,correct,1,4,incorrect,-1,1,5.2415,5.0975,-18.138
F2_acq,F02,acq,15,2o,2,4,50801,incorrect,-1,29,5,incorrect,-1,3,incorrect,-1,1,-0.577,23.3868,-11.1801
F2_acq,F02,acq,16,5h,5,5,30930,correct,1,31,3,incorrect,-1,5,correct,1,0,14.9162,2.2619,-20.4312
F2_acq,F02,acq,17,4o,4,1,46961,incorrect,-1,33,1,incorrect,-1,2,incorrect,-1,1,-9.7356,-13.6497,-23.7892
F2_acq,F02,acq,18,1h,1,4,41116,incorrect,-1,35,1,correct,1,3,incorrect,-1,1,9.024,2.6489,-10.8552
F2_acq,F02,acq,19,1n,1,3,42285,incorrect,-1,37,4,incorrect,-1,2,incorrect,-1,1,8.0815,4.0692,-9.0037
F2_acq,F02,acq,20,4k,4,2,30930,incorrect,-1,39,1,incorrect,-1,5,incorrect,-1,1,-0.694,11.9112,-7.2341
F2_acq,F02,acq,21,5p,5,5,52471,correct,1,41,5,correct,1,5,correct,1,0,-1.7932,-11.531,-7.8013
F2_acq,F02,acq,22,3d,3,4,48463,incorrect,-1,43,2,incorrect,-1,5,incorrect,-1,1,5.9709,-26.8806,-8.5616
F2_acq,F02,acq,23,4l,4,5,27090,incorrect,-1,45,2,incorrect,-1,2,incorrect,-1,1,1.3597,4.7121,-6.6179
F2_acq,F02,acq,24,3n,3,5,52638,incorrect,-1,47,4,incorrect,-1,5,incorrect,-1,0,-1.367,7.905,-11.6805
F2_acq,F02,acq,25,4a,4,2,28258,incorrect,-1,49,5,incorrect,-1,5,incorrect,-1,1,4.8111,-13.6417,1.9548
F2_acq,F02,acq,26,5k,5,5,87204,correct,1,51,5,correct,1,3,incorrect,-1,1,2.0096,14.4761,1.6234
F2_acq,F02,acq,27,1c,1,2,37943,incorrect,-1,53,3,incorrect,-1,1,correct,1,1,-2.5326,-3.418,-9.4603
F2_acq,F02,acq,28,2e,2,3,19743,incorrect,-1,55,4,incorrect,-1,1,incorrect,-1,1,0.669,-15.1979,-11.1779
F2_acq,F02,acq,29,2a,2,1,68502,incorrect,-1,57,3,incorrect,-1,1,incorrect,-1,0,12.1641,-18.6198,18.707
F2_acq,F02,acq,30,5b,5,3,23583,incorrect,-1,59,5,correct,1,1,incorrect,-1,1,6.8697,-13.324,-14.7992
F2_acq,F02,acq,31,2g,2,1,74847,incorrect,-1,61,1,incorrect,-1,1,incorrect,-1,0,1.5037,-15.2547,-14.721
F2_acq,F02,acq,32,2p,2,1,33436,incorrect,-1,63,1,incorrect,-1,1,incorrect,-1,0,5.3122,-21.8102,-17.5923
F2_acq,F02,acq,33,2n,2,1,44957,incorrect,-1,65,1,incorrect,-1,2,correct,1,1,3.7059,-7.2676,-4.8581
F2_acq,F02,acq,34,4b,4,5,42285,incorrect,-1,67,2,incorrect,-1,5,incorrect,-1,0,15.435,2.0545,-6.2121
F2_acq,F02,acq,35,3f,3,5,74180,incorrect,-1,69,5,incorrect,-1,3,correct,1,1,3.3556,8.9677,-3.7304
F2_acq,F02,acq,36,5e,5,1,82362,incorrect,-1,71,3,incorrect,-1,5,correct,1,1,1.1649,-15.4848,13.8607
F2_acq,F02,acq,37,1j,1,1,25420,correct,1,73,2,incorrect,-1,1,correct,1,0,6.5599,-29.8786,0.4453
F2_acq,F02,acq,38,4f,4,5,82028,incorrect,-1,75,5,incorrect,-1,4,correct,1,1,-2.9037,10.8303,3.9787
F2_acq,F02,acq,39,2h,2,2,86369,correct,1,77,1,incorrect,-1,3,incorrect,-1,1,-1.7931,-24.5803,-7.7021
F2_acq,F02,acq,40,3m,3,3,55143,correct,1,79,5,incorrect,-1,3,correct,1,0,2.0843,-4.8801,-9.2931
F2_acq,F02,acq,41,4g,4,4,76350,correct,1,81,5,incorrect,-1,2,incorrect,-1,1,-0.4926,-6.5053,6.4512
F2_acq,F02,acq,42,5o,5,5,38946,correct,1,83,1,incorrect,-1,5,correct,1,0,8.8958,-28.7714,8.7474
F2_acq,F02,acq,43,4m,4,2,35104,incorrect,-1,85,5,incorrect,-1,2,incorrect,-1,0,0.2846,-3.9723,11.4165
F2_acq,F02,acq,44,4c,4,2,83865,incorrect,-1,87,2,incorrect,-1,4,correct,1,1,5.9335,-13.1208,-22.6724
F2_acq,F02,acq,45,3i,3,3,15067,correct,1,89,3,correct,1,3,correct,1,0,10.1758,-10.9835,-0.3885
F2_acq,F02,acq,46,3e,3,3,54976,correct,1,91,3,correct,1,3,correct,1,0,-5.1253,,-31.6986
F2_acq,F02,acq,47,4j,4,4,79189,correct,1,93,2,incorrect,-1,5,incorrect,-1,1,7.7761,-12.8426,23.1285
F2_acq,F02,acq,48,3p,3,3,26088,correct,1,95,3,correct,1,3,correct,1,0,-1.5161,-4.2081,26.6503
F2_acq,F02,acq,49,3o,3,3,16737,correct,1,97,3,correct,1,3,correct,1,0,2.0194,11.0352,1.4429
F2_acq,F02,acq,50,5n,5,5,54642,correct,1,99,5,correct,1,2,incorrect,-1,1,6.9255,10.3762,-19.1293
F2_acq,F02,acq,51,1p,1,1,50635,correct,1,101,1,correct,1,4,incorrect,-1,1,5.5402,-7.9725,0.0655
F2_acq,F02,acq,52,2b,2,3,53140,incorrect,-1,103,2,correct,1,2,correct,1,1,3.2609,34.7429,14.6164
F2_acq,F02,acq,53,2c,2,2,85534,correct,1,105,3,incorrect,-1,3,incorrect,-1,1,14.1293,-0.2826,15.8524
F2_acq,F02,acq,54,4p,4,5,54308,incorrect,-1,107,4,correct,1,4,correct,1,1,8.9378,-12.7182,26.6819
F2_acq,F02,acq,55,1g,1,4,72343,incorrect,-1,109,1,correct,1,2,incorrect,-1,1,13.5538,1.8539,-17.733
F2_acq,F02,acq,56,3h,3,3,16903,correct,1,111,3,correct,1,3,correct,1,0,3.9581,2.3179,-0.1694
F2_acq,F02,acq,57,2f,2,3,31932,incorrect,-1,113,2,correct,1,3,incorrect,-1,0,2.93,15.2636,-9.3989
F2_acq,F02,acq,58,5m,5,2,89041,incorrect,-1,115,5,correct,1,2,incorrect,-1,0,15.4583,29.6169,-6.1407
F2_acq,F02,acq,59,4n,4,4,86035,correct,1,117,5,incorrect,-1,5,incorrect,-1,1,3.4235,4.9101,-1.2547
F2_acq,F02,acq,60,1i,1,2,83029,incorrect,-1,119,4,incorrect,-1,2,incorrect,-1,0,-1.4045,-11.2955,-15.7253
F2_acq,F02,acq,61,2l,2,3,41617,incorrect,-1,121,3,incorrect,-1,3,incorrect,-1,0,10.1639,15.5479,-10.0631
F2_acq,F02,acq,62,3b,3,3,33602,correct,1,123,3,correct,1,2,incorrect,-1,1,9.1654,-9.9498,-8.2374
F2_acq,F02,acq,63,4e,4,5,88039,incorrect,-1,125,4,correct,1,5,incorrect,-1,0,4.1745,13.3001,-26.2644
F2_acq,F02,acq,64,5a,5,2,47795,incorrect,-1,127,2,incorrect,-1,2,incorrect,-1,0,0.2782,-15.9552,-23.2355
F2_acq,F02,acq,65,3a,3,2,96723,incorrect,-1,129,3,correct,1,5,incorrect,-1,1,3.4559,-13.4745,12.4429
F2_acq,F02,acq,66,4i,4,5,65997,incorrect,-1,131,5,incorrect,-1,2,incorrect,-1,1,0.3549,17.8561,-6.8964
F2_acq,F02,acq,67,3k,3,5,85510,incorrect,-1,133,2,incorrect,-1,2,incorrect,-1,1,-4.2385,6.7641,-2.4383
F2_acq,F02,acq,68,5j,5,2,40783,incorrect,-1,135,2,incorrect,-1,2,incorrect,-1,0,13.0114,-2.3917,-8.897
F2_acq,F02,acq,69,5c,5,2,66498,incorrect,-1,137,2,incorrect,-1,2,incorrect,-1,0,4.7846,14.1763,-13.7249
F2_acq,F02,acq,70,3c,3,2,70005,incorrect,-1,139,5,incorrect,-1,,,,,4.4272,0.8066,3.711
F2_acq,F02,acq,71,1e,1,2,90042,incorrect,-1,141,2,incorrect,-1,4,incorrect,-1,1,1.8944,-19.2136,-3.1928
F2_acq,F02,acq,72,5d,5,2,90377,incorrect,-1,143,2,incorrect,-1,2,incorrect,-1,0,10.3871,13.3233,13.5169
F2_acq,F02,acq,73,1a,1,4,20911,incorrect,-1,145,2,incorrect,-1,2,incorrect,-1,1,8.1337,-1.9841,7.2451
F2_acq,F02,acq,74,1o,1,2,114589,incorrect,-1,147,4,incorrect,-1,4,incorrect,-1,1,8.3429,3.0468,18.7843
F2_acq,F02,acq,75,5l,5,2,33435,incorrect,-1,149,2,incorrect,-1,2,incorrect,-1,0,3.6218,-17.7684,-2.055
F2_acq,F02,acq,76,2i,2,3,81026,incorrect,-1,151,3,incorrect,-1,,,,,13.9517,9.3455,-14.8593
F2_acq,F02,acq,77,1l,1,4,83029,incorrect,-1,153,2,incorrect,-1,2,incorrect,-1,1,6.3837,-9.5988,-11.713
F2_acq,F02,acq,78,1b,1,2,35940,incorrect,-1,155,4,incorrect,-1,,,,,7.0585,-11.2317,-14.291
F2_acq,F02,acq,79,5f,5,2,72009,incorrect,-1,157,2,incorrect,-1,,,,,2.0577,-17.9397,4.3556
F2_acq,F02,acq,80,4d,4,2,44790,incorrect,-1,159,5,incorrect,-1,,,,,-0.8031,-34.691,-17.2529
F3_Acq,F03,acq,1,1f,1,1,17071,correct,1,1,,,,,,,,-0.5955,-19.5842,7.4108
F3_Acq,F03,acq,2,2m,2,1,23751,incorrect,-1,3,,,,,,,,-6.3793,-20.2848,-14.3694
F3_Acq,F03,acq,3,5i,5,2,24585,incorrect,-1,5,,,,,,,,-1.1594,1.1416,-16.4094
F3_Acq,F03,acq,4,3g,3,2,23250,incorrect,-1,7,,,,,,,,-1.0634,6.086,3.5667
F3_Acq,F03,acq,5,3l,3,3,30597,correct,1,9,2,incorrect,-1,3,correct,1,0,1.45,14.9133,6.4671
F3_Acq,F03,acq,6,1d,1,1,21746,correct,1,11,1,correct,1,1,correct,1,0,14.1999,2.9981,-11.3314
F3_Acq,F03,acq,7,2d,2,3,28259,incorrect,-1,13,1,incorrect,-1,2,correct,1,1,-3.8577,-4.8204,-7.7947
F3_Acq,F03,acq,8,4h,4,2,36608,incorrect,-1,15,,,,4,correct,1,1,4.9351,-6.555,-18.3519
F3_Acq,F03,acq,9,5g,5,2,43788,incorrect,-1,17,2,incorrect,-1,3,incorrect,-1,1,0.3698,20.7715,-31.342
F3_Acq,F03,acq,10,3j,3,3,12562,correct,1,19,3,correct,1,4,incorrect,-1,1,4.3185,-9.8309,-17.0862
F3_Acq,F03,acq,11,2k,2,2,27758,correct,1,21,3,incorrect,-1,2,correct,1,0,19.8313,-11.9381,-3.4867
F3_Acq,F03,acq,12,2j,2,2,25587,correct,1,23,2,correct,1,2,correct,1,0,5.2792,-12.2932,-13.1988
F3_Acq,F03,acq,13,1m,1,1,52639,correct,1,25,1,correct,1,1,correct,1,0,18.0549,-20.5954,-4.5973
F3_Acq,F03,acq,14,1k,1,1,41450,correct,1,27,1,correct,1,1,correct,1,0,12.5591,-11.2185,-2.4343
F3_Acq,F03,acq,15,2o,2,2,18073,correct,1,29,2,correct,1,2,correct,1,0,5.086,11.1515,-17.6259
F3_Acq,F03,acq,16,5h,5,3,52972,incorrect,-1,31,2,incorrect,-1,3,incorrect,-1,0,21.6688,12.6305,-39.5341
F3_Acq,F03,acq,17,4o,4,4,34103,correct,1,33,2,incorrect,-1,4,correct,1,0,9.3737,-2.0511,-2.644
F3_Acq,F03,acq,18,1h,1,1,48130,correct,1,35,1,correct,1,1,correct,1,0,6.5192,7.2247,5.783
F3_Acq,F03,acq,19,1n,1,1,42453,correct,1,37,1,correct,1,2,incorrect,-1,1,13.6248,4.0811,-2.4721
F3_Acq,F03,acq,20,4k,4,4,29260,correct,1,39,4,correct,1,4,correct,1,0,25.1746,2.0917,-3.4524
F3_Acq,F03,acq,21,5p,5,3,18574,incorrect,-1,41,3,incorrect,-1,3,incorrect,-1,0,24.7842,-28.9141,-5.234
F3_Acq,F03,acq,22,3d,3,4,25253,incorrect,-1,43,3,correct,1,3,correct,1,1,9.3218,-21.6332,-27.0437
F3_Acq,F03,acq,23,4l,4,4,30095,correct,1,45,4,correct,1,1,incorrect,-1,1,-14.2035,-9.6005,-0.9514
F3_Acq,F03,acq,24,3n,3,3,16570,correct,1,47,4,incorrect,-1,3,correct,1,0,1.5366,-3.7478,-6.7261
F3_Acq,F03,acq,25,4a,4,1,59819,incorrect,-1,49,4,correct,1,4,correct,1,1,7.3764,-33.6876,-8.2979
F3_Acq,F03,acq,26,5k,5,3,29094,incorrect,-1,51,3,incorrect,-1,3,incorrect,-1,0,-13.3505,-3.2453,-25.1551
F3_Acq,F03,acq,27,1c,1,2,65830,incorrect,-1,53,1,correct,1,1,correct,1,1,13.7697,-3.9794,-25.6343
F3_Acq,F03,acq,28,2e,2,2,75182,correct,1,55,2,correct,1,2,correct,1,0,4.0378,7.5745,-17.9512
F3_Acq,F03,acq,29,2a,2,2,62491,correct,1,57,2,correct,1,2,correct,1,0,-8.5359,2.7676,18.901
F3_Acq,F03,acq,30,5b,5,3,25420,incorrect,-1,59,3,incorrect,-1,1,incorrect,-1,1,12.7746,-43.0234,-15.5419
F3_Acq,F03,acq,31,2g,2,2,43789,correct,1,61,2,correct,1,2,correct,1,0,11.0834,-13.7732,0.4344
F3_Acq,F03,acq,32,2p,2,2,52805,correct,1,63,2,correct,1,2,correct,1,0,9.6931,-14.2861,-10.1617
F3_Acq,F03,acq,33,2n,2,2,21412,correct,1,65,2,correct,1,3,incorrect,-1,1,4.0904,-7.6441,-2.2578
F3_Acq,F03,acq,34,4b,4,4,35272,correct,1,67,1,incorrect,-1,4,correct,1,0,21.3115,-20.1754,-28.3312
F3_Acq,F03,acq,35,3f,3,3,22748,correct,1,69,3,correct,1,3,correct,1,0,6.6322,5.3387,-10.7357
F3_Acq,F03,acq,36,5e,5,1,38946,incorrect,-1,71,3,incorrect,-1,3,incorrect,-1,1,11.6985,31.1967,10.077
F3_Acq,F03,acq,37,1j,1,1,77519,correct,1,73,2,incorrect,-1,1,correct,1,0,3.789,-1.9593,11.0795
F3_Acq,F03,acq,38,4f,4,4,20578,correct,1,75,4,correct,1,4,correct,1,0,0.0419,-26.9388,9.773
F3_Acq,F03,acq,39,2h,2,3,21246,incorrect,-1,77,2,correct,1,2,correct,1,1,0.683,-27.2133,0.7216
F3_Acq,F03,acq,40,3m,3,3,13063,correct,1,79,3,correct,1,3,correct,1,0,17.5588,-6.038,-3.3977
F3_Acq,F03,acq,41,4g,4,4,12061,correct,1,81,4,correct,1,4,correct,1,0,10.3335,-9.8047,-11.2197
F3_Acq,F03,acq,42,5o,5,3,51637,incorrect,-1,83,1,incorrect,-1,1,incorrect,-1,1,11.5893,-0.257,-3.3621
