subID,acq_cond,G_O_Cat1,G_O_Cat2,G_O_Cat3,G_O_Cat4,G_O_Cat5,G_O_total,G_R_Cat1,G_R_Cat2,G_R_Cat3,G_R_Cat4,G_R_Cat5,G_R_total,G_total,S_O_Cat1,S_O_Cat2,S_O_Cat3,S_O_Cat4,S_O_Cat5,S_O_total,S_R_Cat1,S_R_Cat2,S_R_Cat3,S_R_Cat4,S_R_Cat5,S_R_total,S_total,post_total,acq_total,post_p,acq_p,acq_Cat1,acq_Cat2,acq_Cat3,acq_Cat4,acq_Cat5,focus,usability,aesthetics,endurability,novelty,involve,eng_total,sEBR,enc_SPN,fb_SPN,RewP_ave,RewP_ave_Windows,RewP_hit_ave_Windows,RewP_miss_ave_Windows,RewP_diff_Windows
F11,game,1,0,0,1,0,2,1,0,0,0,0,1,3,0,0,0,1,0,1,1,0,0,0,0,1,2,5,15,0.083333333,0.1875,3,5,3,2,2,3.71,3,2.4,2.2,4.33,4,3.27,30,-7.370304,2.322827273,5.06,-1.111103797,3.019746667,-2.079271875,5.099018542
F12,sterile,0,2,3,0,2,7,0,3,0,0,2,5,12,0,2,2,0,3,7,1,3,2,0,3,9,16,28,34,0.466666667,0.425,1,6,12,1,14,4,1.63,3.2,2.6,3,3.67,3.02,20,-4.099547368,-14.64676795,6.62,-4.259168421,-0.339935484,-6.959084444,6.619148961
F13,sterile,1,0,1,1,0,3,1,1,0,1,0,3,6,1,1,3,1,0,6,2,1,2,0,0,5,11,17,37,0.283333333,0.4625,8,12,6,5,6,3.33,2.63,3.5,3,4,4,3.41,16,-1.183387179,-6.559501299,5.99,-1.600953846,1.61875,-4.3607,5.97945
F14,game,1,2,1,3,1,8,0,2,0,3,1,6,14,0,0,1,2,0,3,1,0,1,2,0,4,7,21,32,0.35,0.4,6,4,4,13,5,4.14,3.88,4.8,5,4.67,5,4.58,17,-0.626650633,-12.29188378,3.61,-1.78223875,0.372796875,-3.218929167,3.591726042
F15,sterile,3,0,0,2,3,8,3,0,0,2,3,8,16,3,0,0,1,3,7,2,1,0,2,3,8,15,31,32,0.516666667,0.4,8,6,8,10,0,4,2.88,3.2,3,4,3.33,3.4,52,-3.34898375,-12.64816835,3.7,4.5151875,6.729609375,3.03890625,3.690703125
F16,game,0,1,2,0,0,3,0,1,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0.083333333,0.1875,4,3,4,3,1,3.86,2.25,3.6,2.6,3.33,3,3.11,28,-3.4752375,-1.54991875,-0.55,-0.15541519,-0.604053333,-0.050265625,-0.553787708
F17,game,0,0,1,2,1,4,0,0,1,0,0,1,5,1,0,0,1,2,4,2,0,1,0,0,3,7,12,15,0.2,0.1875,2,3,4,4,2,4,2.88,4,2.8,4.67,4,3.72,79,-4.713535526,-7.73348875,15.65,-5.2566,7.3347,-8.302882258,15.63758226
F18,sterile,1,0,1,2,1,5,0,2,1,0,0,3,8,1,0,1,1,0,3,0,0,1,1,1,3,6,14,20,0.233333333,0.25,3,5,5,4,3,4,2.75,3.8,4,4,4,3.76,85,-2.172356962,-6.100703846,5.58,7.00170641,11.20148947,5.649233898,5.552255575
F19,game,1,0,1,0,0,2,0,0,0,2,0,2,4,0,1,1,1,0,3,1,0,1,0,0,2,5,9,17,0.15,0.2125,5,3,2,5,2,3.29,1.88,3,1.8,4.33,4,3.05,60,-2.095563291,-10.53132625,-2.24,1.03286875,-0.836023529,1.537173016,-2.373196545
F20,sterile,3,3,3,3,3,15,3,3,2,3,3,14,29,3,3,3,3,2,14,2,3,3,3,3,14,28,57,54,0.95,0.675,13,6,13,14,8,4.43,2.88,4.8,4,5,4.67,4.3,18,-3.0310975,-3.165289873,1.52,5.44409,5.92972037,4.435473077,1.494247293
F21,sterile,1,0,1,1,3,6,1,1,1,1,1,5,11,0,3,2,0,1,6,0,0,1,0,0,1,7,18,17,0.3,0.2125,4,3,2,5,3,4,1.38,1.4,1.4,3,2,2.2,22,-4.787165385,-8.035425676,6,7.202817722,11.90507059,5.913490323,5.991580266
F22,sterile,3,3,3,3,3,15,2,3,1,3,3,12,27,3,3,3,3,3,15,2,3,1,3,3,12,27,54,60,0.9,0.75,14,14,10,14,8,3.71,3.88,3.4,3.4,4,4,3.73,45,-2.318326582,-11.20208209,-4.02,0.32736125,-0.679475,3.34787,-4.027345
F23,game,3,0,2,1,0,6,3,0,1,0,0,4,10,2,0,1,0,0,3,1,0,1,0,0,2,5,15,17,0.25,0.2125,9,2,4,1,1,4.83,3,5,3.4,4.67,4.67,4.26,42,-2.13899,-2.9339275,3.85,4.97387375,7.987070588,4.160788889,3.826281699
F24,game,0,0,4,2,4,10,0,2,2,2,2,8,18,0,0,0,1,0,1,1,1,0,2,0,4,5,23,12,0.383333333,0.15,3,2,4,3,0,3.29,2.5,4,2.8,3.67,4,3.38,37,4.3536575,-5.95187875,1.66,2.49547625,4.939325,2.064208824,2.875116176
F25,sterile,3,3,0,3,0,9,3,3,0,1,0,7,16,2,3,1,1,0,7,1,3,1,1,0,6,13,29,37,0.483333333,0.4625,11,13,11,2,0,4.43,2.88,4.2,2.8,4.33,3.67,3.72,70,-3.6672375,-3.13957125,7.27,-2.6747875,1.223767568,-6.02935814,7.253125707
F26,game,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,2,0,0,0,2,1,3,5,6,15,0.1,0.1875,3,0,6,6,0,3.29,2.75,3.6,3.4,4,4.33,3.56,58,-2.585688462,-4.861612658,2.11,3.22574359,4.894026667,2.828533333,2.065493333
F27,sterile,1,3,1,2,0,7,0,2,1,1,2,6,13,0,2,0,1,3,6,2,1,0,0,3,6,12,25,47,0.416666667,0.5875,8,12,11,7,9,4,3.88,3.8,3.8,3.67,4,3.86,16,-2.896522785,-4.0402225,0.18,-0.87313375,-0.802776596,-0.973339394,0.170562798
F28,game,2,0,0,0,0,2,1,1,2,0,2,6,8,0,1,0,0,0,1,3,0,0,0,0,3,4,12,23,0.2,0.2875,7,8,0,6,2,4.29,2.75,3.6,4.4,4.33,4.33,3.95,52,2.058891026,-10.53384304,11.39,9.531889873,17.61525652,6.211935714,11.40332081
F29,sterile,0,1,0,1,2,4,0,0,1,2,1,4,8,1,0,0,2,0,3,1,0,0,1,0,2,5,13,22,0.216666667,0.275,5,1,2,6,8,3.86,2.88,3.6,3.2,4,2.33,3.31,19,-2.90872973,-5.60842,3.98,5.568744872,8.396459091,4.457857143,3.938601948
F30,sterile,1,3,3,3,3,13,1,3,2,3,3,12,25,0,3,3,3,3,12,0,3,3,3,3,12,24,49,64,0.816666667,0.8,13,7,15,16,13,4.43,4.13,4,3.8,4.33,4.33,4.17,58,-2.150135,-12.93641125,1.56,4.106645,4.406071875,2.9089375,1.497134375
F31,game,2,2,0,0,1,5,1,2,0,1,0,4,9,2,1,2,0,0,5,0,1,0,1,1,3,8,17,25,0.283333333,0.3125,5,5,7,5,3,4.43,2.13,3,2.8,4,4,3.39,5,2.34283375,-5.8805975,4.09,0.22669625,3.058152,-1.060329091,4.118481091
F32,game,3,3,3,3,3,15,3,3,2,3,3,14,29,3,3,2,3,3,14,2,3,3,3,3,14,28,57,56,0.95,0.7,11,9,9,14,13,4.71,3,4.6,4.8,4.67,5,4.46,24,-1.215412857,-16.57085479,11.5,1.059894203,4.388608163,-7.095455,11.48406316
F33,game,0,3,1,1,2,7,0,3,1,1,1,6,13,0,1,1,0,0,2,0,3,0,0,1,4,6,19,41,0.316666667,0.5125,0,8,12,8,13,2.71,3.63,3.2,3,2.67,2.33,2.92,,,,,,,,
F34,sterile,2,3,3,3,1,12,2,3,2,3,1,11,23,0,3,3,3,0,9,0,3,3,3,0,9,18,41,49,0.683333333,0.6125,8,7,14,10,10,4.57,3.13,4.2,4.2,4.33,4.33,4.13,22,-5.746692208,-2.920145946,3.73,11.49236883,12.94663404,9.21402,3.732614043
F35,sterile,1,0,2,0,0,3,0,0,0,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,33,0.1,0.4125,6,8,8,6,5,5,2.63,4.6,3.6,5,4.33,4.19,72,-9.96829375,-21.19103797,3.06,8.25504625,10.05532727,6.991019149,3.064308124
F36,game,0,0,2,0,2,4,0,1,0,0,1,2,6,2,0,1,0,0,3,1,1,1,1,0,4,7,13,20,0.216666667,0.25,3,4,5,4,4,3.57,1.5,2.8,2.4,3.33,3.33,2.82,11,-7.75788875,-12.01465625,-1.22,0.10579125,-0.795665,0.406276667,-1.201941667
F37,sterile,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0.033333333,0.25,2,2,4,6,6,4.43,3.13,3.6,3.4,3.67,4.33,3.76,42,0.9811725,-11.12373875,7.97,19.62253797,25.64503684,17.71541333,7.929623509
F38,game,1,0,0,1,0,2,0,0,1,1,0,2,4,1,0,0,1,0,2,0,0,1,0,0,1,3,7,19,0.116666667,0.2375,1,3,3,1,11,3.71,3.75,3.2,3.4,3.33,3.67,3.51,37,0.9396475,-7.19281125,1.63,2.34999125,3.603205263,1.959645902,1.643559362
F39,sterile,1,0,1,0,0,2,1,0,0,1,0,2,4,2,0,2,2,0,6,0,0,1,1,0,2,8,12,16,0.2,0.2,5,5,4,2,0,4,3.63,3.4,3.6,3,3.33,3.49,47,-5.095057895,-7.617485714,4.18,1.716696053,5.094986667,0.885968852,4.209017814
F40,game,2,2,0,0,0,4,2,2,0,0,0,4,8,2,0,2,2,0,6,0,0,1,1,0,2,8,16,20,0.266666667,0.25,5,7,5,2,1,5,3.25,3.4,3.4,4,4.33,3.9,27,-2.091667089,-8.522635897,8.04,4.34433875,10.366825,2.336843333,8.029981667
F41,game,2,2,0,0,2,6,2,1,2,2,2,9,15,0,0,2,0,0,2,0,0,0,0,1,1,3,18,11,0.3,0.1375,2,2,2,2,3,4.86,3.25,3,3.2,4.33,4,3.77,25,-3.879855,-10.2470925,11.49,5.172407595,15.06936364,3.571429412,11.49793422
