subID,acq_cond,post_cond,retention,rotated,num_correct,rt_correct,md_crt_time,focus,usability,aesthetics,endurability,novelty,involve,eng_total,sEBR,enc_SPN,fb_SPN,RewP_ave,RewP_ave_Windows,RewP_hit_ave_Windows,RewP_miss_ave_Windows,RewP_diff_Windows
M14,sterile,sterile,1,1,3,1.732050808,3.5272,4,3,2.8,3,3,3.67,3.24,40,-3.24428481,-4.565925641,2.17,7.490064557,9.339841667,7.158761194,2.181080473
M15,sterile,game,-1,-1,3,1.732050808,1.4026,3,3.5,3.6,3.2,3.33,3,3.27,12,-1.777755556,-15.35425915,2.88,2.199544444,4.29919,1.391988462,2.907201538
M15,sterile,game,-1,1,4,2,1.4649,3,3.5,3.6,3.2,3.33,3,3.27,12,-1.777755556,-15.35425915,2.88,2.199544444,4.29919,1.391988462,2.907201538
M15,sterile,sterile,1,-1,5,2.236067977,1.5901,3,3.5,3.6,3.2,3.33,3,3.27,12,-1.777755556,-15.35425915,2.88,2.199544444,4.29919,1.391988462,2.907201538
M15,sterile,sterile,1,1,3,1.732050808,2.5754,3,3.5,3.6,3.2,3.33,3,3.27,12,-1.777755556,-15.35425915,2.88,2.199544444,4.29919,1.391988462,2.907201538
M16,game,game,1,-1,3,1.732050808,1.4566,2.86,3.13,2,2.6,2.33,2.33,2.54,16,-1.019964557,-10.11348354,-0.36,2.942962025,2.770288372,3.149211111,-0.378922739
M16,game,game,1,1,3,1.732050808,1.2562,2.86,3.13,2,2.6,2.33,2.33,2.54,16,-1.019964557,-10.11348354,-0.36,2.942962025,2.770288372,3.149211111,-0.378922739
M16,game,sterile,-1,-1,3,1.732050808,3.3435,2.86,3.13,2,2.6,2.33,2.33,2.54,16,-1.019964557,-10.11348354,-0.36,2.942962025,2.770288372,3.149211111,-0.378922739
M16,game,sterile,-1,1,4,2,2.1329,2.86,3.13,2,2.6,2.33,2.33,2.54,16,-1.019964557,-10.11348354,-0.36,2.942962025,2.770288372,3.149211111,-0.378922739
M17,game,game,1,-1,2,1.414213562,2.2915,4.86,3.13,3.6,3.4,4.33,4.67,4,50,-4.364739189,-16.17235479,4.14,5.885124,8.90198,4.788085455,4.113894545
M17,game,game,1,1,4,2,2.4084,4.86,3.13,3.6,3.4,4.33,4.67,4,50,-4.364739189,-16.17235479,4.14,5.885124,8.90198,4.788085455,4.113894545
M17,game,sterile,-1,-1,1,1,2.8926,4.86,3.13,3.6,3.4,4.33,4.67,4,50,-4.364739189,-16.17235479,4.14,5.885124,8.90198,4.788085455,4.113894545
M17,game,sterile,-1,1,3,1.732050808,2.0366,4.86,3.13,3.6,3.4,4.33,4.67,4,50,-4.364739189,-16.17235479,4.14,5.885124,8.90198,4.788085455,4.113894545
M18,sterile,game,-1,-1,2,1.414213562,3.8946,,,,,,,,,,,,,,,
M18,sterile,game,-1,1,3,1.732050808,5.0132,,,,,,,,,,,,,,,
M18,sterile,sterile,1,-1,3,1.732050808,2.4084,,,,,,,,,,,,,,,
M18,sterile,sterile,1,1,2,1.414213562,3.26975,,,,,,,,,,,,,,,
M19,sterile,game,-1,-1,15,3.872983346,1.2228,3.71,2.88,3.2,3.6,4,3.5,3.48,49,-2.5848675,-10.2005675,8.63,3.63835375,7.626202326,-0.996172973,8.622375299
M19,sterile,game,-1,1,14,3.741657387,1.2562,3.71,2.88,3.2,3.6,4,3.5,3.48,49,-2.5848675,-10.2005675,8.63,3.63835375,7.626202326,-0.996172973,8.622375299
M19,sterile,sterile,1,-1,13,3.605551275,1.156,3.71,2.88,3.2,3.6,4,3.5,3.48,49,-2.5848675,-10.2005675,8.63,3.63835375,7.626202326,-0.996172973,8.622375299
M19,sterile,sterile,1,1,14,3.741657387,1.5317,3.71,2.88,3.2,3.6,4,3.5,3.48,49,-2.5848675,-10.2005675,8.63,3.63835375,7.626202326,-0.996172973,8.622375299
